molecule_chembl_id,canonical_smiles,pchembl_value,standard_type,standard_relation,assay_type,assay_chembl_id,document_chembl_id
CHEMBL170,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,4.82,Ki,=,A,CHEMBL729206,CHEMBL1126649
CHEMBL12014,Cc1nccc2c1[nH]c1ccccc12,4.07,Ki,=,A,CHEMBL729206,CHEMBL1126649
CHEMBL2079612,C=CC1CN2CCC1C[C@@H]2[C@@H](O)c1ccnc2ccccc12,5.12,Ki,=,A,CHEMBL729206,CHEMBL1126649
CHEMBL2079612,C=CC1CN2CCC1C[C@@H]2[C@@H](O)c1ccnc2ccccc12,5.03,Ki,=,A,CHEMBL729201,CHEMBL1126649
CHEMBL2079612,C=CC1CN2CCC1C[C@@H]2[C@@H](O)c1ccnc2ccccc12,4.60,Ki,=,A,CHEMBL758056,CHEMBL1126649
CHEMBL2079612,C=CC1CN2CCC1C[C@@H]2[C@@H](O)c1ccnc2ccccc12,5.14,Ki,=,A,CHEMBL729203,CHEMBL1126649
CHEMBL2079612,C=CC1CN2CCC1C[C@@H]2[C@@H](O)c1ccnc2ccccc12,4.80,Ki,=,A,CHEMBL729205,CHEMBL1126649
CHEMBL2079612,C=CC1CN2CCC1C[C@@H]2[C@@H](O)c1ccnc2ccccc12,5.12,Ki,=,A,CHEMBL729204,CHEMBL1126649
CHEMBL112532,CCCCOc1ccc(-n2ccnc2)cc1,6.34,IC50,=,A,CHEMBL663532,CHEMBL1145921
CHEMBL151646,CCCCOc1ccc(-c2cccnc2)cc1,4.90,IC50,=,A,CHEMBL663532,CHEMBL1145921
CHEMBL434317,CCCCOc1ccc(-c2[nH]ncc2C)cc1,4.67,IC50,=,A,CHEMBL663532,CHEMBL1145921
CHEMBL150681,CCCCOc1ccc(-c2ccno2)cc1,4.06,IC50,=,A,CHEMBL663532,CHEMBL1145921
CHEMBL345544,CCCCOc1ccc(-n2cncn2)cc1,5.02,IC50,=,A,CHEMBL663532,CHEMBL1145921
CHEMBL2113347,Cl.N#Cc1ccc2c(c1)CN(CC[C@H]1CC[C@H](NC(=O)c3cc4ccccc4[nH]3)CC1)CC2,6.10,IC50,=,A,CHEMBL666058,CHEMBL1132939
CHEMBL359116,CCCCOc1ccc(-c2cc[nH]c2)cc1,4.27,IC50,=,A,CHEMBL663532,CHEMBL1145921
CHEMBL151280,CCCCOc1ccc(-c2ccncc2)cc1,6.40,IC50,=,A,CHEMBL663532,CHEMBL1145921
CHEMBL358214,CCCCOc1ccc(-n2ccnc2C)cc1,4.40,IC50,=,A,CHEMBL663532,CHEMBL1145921
CHEMBL151037,CCCCOc1ccc(-c2ccnn2C)cc1,4.01,IC50,=,A,CHEMBL663532,CHEMBL1145921
CHEMBL150146,CCCCOc1ccc(-c2cnccn2)cc1,5.18,IC50,=,A,CHEMBL663532,CHEMBL1145921
CHEMBL151354,CCCCOc1ccc(-c2ccns2)cc1,4.97,IC50,=,A,CHEMBL663532,CHEMBL1145921
CHEMBL341089,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1cccnc1)C[C@H](O)CN1CCN(Cc2ccn(-c3ccccc3)c2)C[C@H]1C(=O)NCC(F)(F)F,4.92,IC50,=,A,CHEMBL665888,CHEMBL1146635
CHEMBL358216,CCCCOc1ccc(-c2cnco2)cc1,6.00,IC50,=,A,CHEMBL663532,CHEMBL1145921
CHEMBL433737,CCCCOc1ccc(-c2ccon2)cc1,4.07,IC50,=,A,CHEMBL663532,CHEMBL1145921
CHEMBL151974,CCCCOc1ccc(-c2ccncn2)cc1,6.30,IC50,=,A,CHEMBL663532,CHEMBL1145921
CHEMBL149750,CCCCOc1ccc(-c2cc[nH]n2)cc1,4.03,IC50,=,A,CHEMBL663532,CHEMBL1145921
CHEMBL358880,CCCCOc1ccc(-n2cncc2C)cc1,6.92,IC50,=,A,CHEMBL663532,CHEMBL1145921
